Entity_Orth,Entity_Label,Parts_of_Speech
Bruce M. Barnard,PERSON,NNP NNP NNP
last fall,DATE,JJ NN
Indians,NORP,NNPS
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Stockman Jensen,PERSON,NNP NNP
H. E. Pine,PERSON,NNP NNP NNP
Aztec,NORP,NNP
H. M. for the present,PERSON,NNP NNP IN DT JJ
Particularyy,PERSON,NNP
Jensen,PERSON,NNP
December,DATE,NNP
January,DATE,NNP
the last day,DATE,DT JJ NN
the year,DATE,DT NN
years,DATE,NNS
years,DATE,NNS
San Juan School,ORG,NNP NNP NNP
Indians,NORP,NNPS
Hereford,GPE,NNP
five and six year old,DATE,CD CC CD NN JJ
fiscal year,DATE,JJ NN
San Juan,GPE,NNP NNP
Robert,PERSON,NNP
Wilmer,PERSON,NNP
Scott,PERSON,NNP
"William "" ' "" ""
Sells",PERSON,NNP `` '' '' '' SP NNP
Marshall,PERSON,NNP
Singer,ORG,NNP
"Lawrence "" "" """,PERSON,NNP `` '' ''
Tsosi,ORG,NNP
"Mark "" "" ""
White",PERSON,NNP `` '' '' SP NNP
Enderson,WORK_OF_ART,SP NNP
Atsonebah,PERSON,NNP
Bitsui,PERSON,NNP
Barberetcilly,PERSON,NNP
Kathleen,PERSON,NNP
Blyis,PERSON,NNP
Pearl,LOC,NNP
Charles,PERSON,NNP
Ethel,PERSON,NNP
Cudai,PERSON,NNP
"Laura "" - "" ""
Daholtah",PERSON,NNP '' : '' '' SP NNP
"Katherine "" "" ""
Dealbenally",PERSON,NNP `` '' '' SP NNP
Flora,PERSON,NNP
Deschene,PERSON,NNP
"Louise "" "" ""
Dewdrop",PERSON,NNP `` '' '' SP NNP
"Sarah "" "" """,PERSON,NNP `` '' ''
Enospah,PERSON,NNP
"Martha "" ~ "" ""
Enospah",PERSON,NNP `` NNP '' `` SP NNP
Minnie,PERSON,NNP
Hototles,PERSON,NNP
Lenao,PERSON,NNP
Henty,PERSON,NNP
"Mary L u "" "" ""
Hobson",PERSON,NNP NNP NNP '' '' '' SP NNP
Amy 0,PERSON,NNP CD
Hutton,PERSON,NNP
"Catherine "" ""' """,PERSON,NNP `` `` '' ''
"Joe,",WORK_OF_ART,"SP NNP ,"
"Maggie "" "" ""
Kedah",PERSON,NNP `` '' '' SP NNP
Jesse,PERSON,NNP
Larson,PERSON,NNP
"Thelma "" W """,PERSON,NNP `` NNP '' SP
Lonehln,PERSON,NNP
Winona,PERSON,NNP
"Mable "" W _ """,PERSON,NNP `` NNP '' ''
Nakiyazzie,ORG,NNP
"Doris "" "" ""
Marohene",PERSON,NNP `` '' '' SP NNP
"Gene "" "" ""
Nakaibega",PERSON,NNP `` '' '' SP NNP
Dorris,PERSON,NNP
Armada,ORG,NNP
Dora,PERSON,NNP
Agnes,PERSON,NNP
Todoohene,PERSON,NNP
Lillie,PERSON,NNP
Nellie,PERSON,NNP
Wadsworth,PERSON,NNP
Margarete,PERSON,NNP
Wilson,ORG,NNP
"Janet "" "" ""
Yellowhead",PERSON,NNP `` '' '' SP NNP
Myra,PERSON,NNP
Yethdexbah,PERSON,NNP
Vera,PERSON,NNP
"9
Canada Mission School",WORK_OF_ART,CD SP NNP NNP NNP
Morris Navajo,PERSON,NNP NNP
San Juan,GPE,NNP NNP
"Max "" "" ""
King",PERSON,NNP `` '' '' SP NNP
"Jerome "" "" """,PERSON,NNP `` '' '' SP
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Navajos,NORP,NNPS
at least another,DATE,RB RBS DT
Indians,NORP,NNPS
Navajo,NORP,NNP
San Juan Agency,ORG,NNP NNP NNP
Last year,DATE,JJ NN
last year,DATE,JJ NN
Observer,ORG,NNP
San Juan,GPE,NNP NNP
San Juan School,ORG,NNP NNP NNP
Indian Office,ORG,JJ NNP
San Juan Agency,ORG,NNP NNP NNP
Indians,NORP,NNPS
NaVajo,ORG,NNP
Navajo,NORP,NNP
Navajos,NORP,NNPS
the past year,DATE,DT JJ NN
San Juan School,ORG,NNP NNP NNP
Indian,NORP,JJ
Toggenberg,ORG,NNP
Toadlena,GPE,NNP
the nekt ten years,DATE,DT JJ CD NNS
Indians,NORP,NNPS
Angora,NORP,NNP
San Juan School,ORG,NNP NNP NNP
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Hogan,PERSON,NNP
Last summer,DATE,JJ NN
Toadlena School,ORG,NNP NNP
San Juan School,ORG,NNP NNP NNP
February,DATE,NNP
March,DATE,NNP
Navajos,NORP,NNPS
Indians,NORP,NNPS
San Juan Agency,ORG,NNP NNP NNP
Toadlena,GPE,NNP
Henry Pine,PERSON,NNP NNP
the Bureau of Animal Industry,ORG,DT NNP IN NNP NNP
Agency Stockman,PERSON,NNP NNP
Jensen,PERSON,NNP
last fall,DATE,JJ NN
November,DATE,NNP
November,DATE,NNP
Stockman Jensen,PERSON,NNP NNP
Kreso,PERSON,NNP
this fall,DATE,DT NN
late years,DATE,JJ NNS
the Bureau of Animal,ORG,DT NNP IN NNP
San Juan,GPE,NNP NNP
NaVajo,ORG,NNP
Miss Gouberg,PERSON,NNP NNP
the past year,DATE,DT JJ NN
the year,DATE,DT NN
Ignacio,ORG,NNP
the Mesa School,ORG,DT NNP NNP
Toadlena,GPE,NNP
Fort Wingate,FAC,NNP NNP
Sheepmen,GPE,NNP
San Juan,GPE,NNP NNP
Jurisdiction,GPE,NNP
San Juan =,GPE,NNP NNP NNP
State,ORG,NNP
Indians,NORP,NNPS
Canton,GPE,NNP
School,ORG,NNP
Sanatorium,GPE,NNP
Brick,PERSON,NNP
fiscal year,DATE,JJ NN
fiscal year,DATE,JJ NN
fiscal year,DATE,JJ NN
fiscal year,DATE,JJ NN
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Navajo,ORG,NNP
last February,DATE,JJ NNP
about a week,DATE,RB DT NN
Navajos,NORP,NNPS
ten days,DATE,CD NNS
Indian,NORP,JJ
Bruce M. Barnard,PERSON,NNP NNP NNP
Indians,NORP,NNPS
Agency,ORG,NNP
Farmington,GPE,NNP
Sophus Jansen,PERSON,NNP NNP
Agency Stockman,PERSON,NNP NNP
San Juan Agency,ORG,NNP NNP NNP
the year,DATE,DT NN
February,DATE,NNP
IViarch,GPE,NNP
the past ten years,DATE,DT JJ CD NNS
June,PERSON,NNP
mid-June,DATE,JJ SYM NNP
Navajo,NORP,NNP
Ditch,PERSON,NNP
School,ORG,NNP
San Juan Agency,ORG,NNP NNP NNP
a few years,DATE,DT JJ NNS
Toadlena,GPE,NNP
Navajos,NORP,NNPS
winter,DATE,NN
Navajo,NORP,NNP
Spring,ORG,NNP
San Juan,GPE,NNP NNP
this coming winter,DATE,DT VBG NN
last winter,DATE,JJ NN
1924,DATE,CD
Havajos,ORG,NNP
winter,DATE,NN
1925,DATE,CD
San Juan Reservation,GPE,NNP NNP NNP
4.. Number of,ORG,CD NFP NN IN
18 years,DATE,CD NNS
Climbs-Children,PERSON,NNP HYPH NNP
Laser-w,PERSON,NNP HYPH NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Apache,ORG,NNP
San Juan Agency,ORG,NNP NNP NNP
Holstein,PERSON,NNP
Holstein,PERSON,NNP
Durhams,PERSON,NNP
The Holstein Bullecalf,ORG,DT NNP NNP
last year,DATE,JJ NN
