Aotin,1
Nicola Yanni,1
Special Attorney,1
The Book Ielmd,1
H. M.,3
LaMrmw,1
Gaye,1
U.8.Indian Industrial Bdhool,1
Vietorteno,1
July 14, 1905,1
Juan'fiico,1
Frank Owen,2
Black Rock,2
131 Dub,1
1mm Inna,1
Eula,1
Minn,1
San Ildefoneo,1
Mina,1
N. H.
Dear,2
Stac'nez,1
MI W,1
Santa.,3
Ausuet 8,1906,1
Tesuque,1
Lula,1
Portland,1
Mint,1
Ina-uh,1
Native,1
Spoclal Dub Act,1
Mien Dunn,1
Spriggs,1
115m,1
Loth,1
Lou An-,1
MI. Wtflh
nw,1
U. l. m.,1
Jan. and,1
Sept. 30, 1905,1
E. Ccudex't,1
July 15th,1
June 28, 1905,2
two years,1
N. Y.
Deer 31r:~',1
Chic-noun,1
Farmer,2
May 11, 1905,1
Avril,1
Albert R. Smgley,1
N. I.

Madam,1
Jose Martinez,1
Aoril,1
James,2
H. Lippi,1
Miguel Lucio,1
Santa Il'o,1
Filna,1
Grmde,1
N. u.
",1
N. M. ,,2
Missouri,2
Indiana =,1
Industrial Teacher
C.J.Crandall,1
Pleurta,1
15113,1
June 28, 1906,1
W. Dudrov,1
Clow P-374,1
one week,1
Aas't U. S. Attorney,1
Georog,1
Declie,1
Santa Deninse,1
Banto Domingo,2
Sept. 18, 1906,1
8
no,1
C. L.'Pol'lurd,1
Colorode,1
Gross-Tare-,1
Antonio,,1
Bate ID,1
The year ending June 30th,1
Copt- 1».,1
State Fe,1
11010,1
June 9th,1
Sept. 2nd,1
L. Chelcraft,1
Inez,2
1906,14
Konnody,1
the quarter ending December 31,1904,1
Sewerpipe
6,1
J. G. Borrcgo,1
Aug. 30,2
Deputmnt,1
Harvey Towne,1
14 6376-2116-4261,1
U.S.India.n Industrial School,1
Demo Mini",1
Fernandez de ',1
Euffalo Scales CommanY,1
several quarters,1
A].-,1
Mama Mama Mm,1
Santa F5,1
J. an,1
N. l. Housekeeper,1
Keith,1
Suntfi Fe,1
School,1
Heron 16,1905,1
Rodey,1
Kiel 311,1
Jill Bay t«"l - ',1
the U. I.
OVnr,1
Heggett,1
Domingo Indiene,1
01110 Iith,1
Framer,1
Puouoo,1
J. E. Elder,1
21 days,1
Thornton a.,1
Ooohiti,1
Leo Hercch,1
Mi 1':-,1
Taco Pueblo,1
this month,5
N. M.. July,1
A.8nook,1
Faix,1
the 80th,1
Santa le,1
Santa Fe e,1
Santa lb,6
Anaetacio Trujillio,1
Santa D.,1
Kay, 1905,1
Taoe,1
Day School Buildings st Jones Pueblo,1
Antonio Kiribal,1
Isidro,1
OI 1,1
Como-e,1
June 38, 1905,1
Taoy,1
Cruz Perez,1
9,- 1906,1
Taos,11
E1 Page,1
14 45292-22;%%_'r,1
Crouee,1
1x & n,1
U.§.Indian Industrial School,1
Hana,1
Commissiox,1
some months ago,1
Sept. lat,2
3;.-,1
Renehm,1
U.S.Indien Industrial Bdhoolg,1
Colorodo Gringo,1
Hobart,3
Jaeko,1
N. M.
D,1
M. 27th,1
3'22 ft,1
II N,1
January,3
Corbett:—,1
L. Reuwol-J,1
Santa Fem" Indemmgust,1
Jan. 18, 1905,1
Sooley,1
Samuel F. Stacher,1
March 15,1
Residences,1
Depsrtmentel,1
Kellyefla,1
Navahos,1
Manual Brown,1
A. J. Abbott,3
August 7,1008,1
Jemee K. Allen,1
Arlz,2
W. T. Shelton,1
Oct. 36, 1905,1
the Omnhn Agency,1
1905-Harch 9,1
Ponaaco,1
Harper/,1
Coo'nlti,1
I. Duconett,1
Sant;,1
Escupuls Rivera,1
Son Ildofooso,1
Ben Felipe,3
N. M,4
Carson,1
N. MM June,1
Eapenole,1
Lo sounraCL F,1
I111,1
Sum Jack,1
the year limit,1
Jam-3,1
Francisco,2
Dear Sin-o,1
Ponira:-,1
March 23,1905,1
U.I.Indlun Industrial School,1
Oct. 4, 1305,1
Ramon,1
Kasas N.Enos,3lndustrial Teacher,1
104101,1
Colo.,12
April 9th,1
Burr,1
Ari/JIM,1
the end of six months,1
E. Dwott,1
Windows,1
Miss Rode,1
J. P. mluvy,1
United Pueblo Agencies,1
Ralph P. Collins,4
May 36,1
September 9,1905,1
Collins I..P011ard,1
Albert Emickmson,1
Sept. lot,3
Ailenwood,1
Kinnoapolls,1
File & Index Co.,1
February 1900-November 1913,1
Santa Fe Central,1
Albuquerquo,1
daily,1
Danvnr,1
N. 1,10
Domingo Indian,1
ten and over,1
Snnta Fe,1
Htmury,1
Ultra,1
Ingun,1
Santa ID.,1
Edith L. Behwold,1
the Indian Committee,1
Indians,94
Weehington,2
015.00 pot month,1
Pojeque,1
Juez,1
The Aountain Electric Co. by,1
Torranac C¢.,1
Indiana,38
Santu Fe,1
Juet,2
N. M. lmown,1
I. deelre,1
rN. u.,1
Anastaoio Urino,1
April 5th,1
Navaho,1
Verona,1
I. M.
",1
Chona Consoles,1
3m .x,1
Indian Warehouse,3
N. M.,,37
N. M..,1
N. M.',1
Jeok,1
Mi...- DI',1
May 23:1, 1906,1
J. B. B.,1
Index Co.,2
Sun Jun mom,1
eight or,1
Ian Folk,1
Box 903,1
Wee U,1
Suportutondont,1
Grandall,2
Luke ll,1
Iee'lexico,1
Edith L. Renwold,1
Lufszt,1
ACCOUNT.,1
Bendovel County,1
Carrol Trujill's,1
Indi

Shelton,1
Oewker,1
Leo Hersch,1
Aug. 1,2
Wah S.Rioa,1
N. M.
Deer Sin-,1
George,2
«nee-u,1
WH;LW1EH,1
New notice,1
Yazza,1
S. M. wrphy',1
Wilton,1
Asbeatos,1
the Office relative,1
Haskell Inst,1
Bento Domingo,2
Iuoh,1
the Hornby Nichols Porter ml.-,1
Jane,1
14 6220-2212-4178,1
Jana,1
the United States,5
Pueblo Day,1
Sun Jun.,1
Form,1
J'une 531000,1
New Nexico,1
Ford,1
C. L. Pollard/,1
Iehool,1
31... on,1
Nev.,1
Louie C.,1
Abram Castillo,1
Fulton St.

Chicago,1
Dec. 8,,1
Santiago Quintenne,1
Dwiro,1
El Paeo,1
Supt,25
Dwire,1
Sonto Domingo Indiene,1
the past month,1
Judd :y,1
English,3
Duet,1
the Dept.,2
Warner,1
Manta-r,1
Sam M,1
F.1LCoudert,1
Bmts 10/,1
Rivers,1
91919 9199999 91919919,1
Eetmcia,1
August 19,1905,2
Rivera,1
Alice Allen,1
Tens Pueblo,1
Kansas,1
Thornton,13
N. 1!.,3
Jones Ahzozimne,1
July 24, 1905,1
Isaac,1
Ron 3,1
York,2
Davidson,1
August,6
Belem,1
KIM-"1,1
Aug. 230:.,1
Diet,2
Ayril 20m,1
Cor V411,1
Jill,1
Garloclo,1
Santa FogNow,1
U.S.Indi|n Industrial School,1
today,7
Aug. 1, 1905,2
Julian ststs,1
October,1
Orrin A. Foster,1
Bond,1
Lee Vista,1
£1.10».,1
Curried Forward,1
Asher,1
William H.H8hn,1
Rocky,2
Indo,1
Haggett,2
Donvor,1
Aug. 2d, 1905,1
V. m.,1
1-3-4-,1
Ken cop'Nne,1
Sage,2
Hugh Souoeo,1
Pacific,1
Puqbloa,1
Locks,1
Stsbbinz,1
Jenn,1
William Farr:-,1
Run 7th,1
the Indien Office,1
Cnlcago,1
List of mess of,1
San Ildofonuo,1
John Flinn,1
Edmund,1
Dutch,1
Cheirmen Omittee,1
Idleel,1
N. M; ',1
Noble,2
R. It,1
the 2nd,3
May 8,1905,1
the spring,1
Reuben Perry,8
Indian School Service,2
The Whitney Company,1
wim I. 0mm,1
Chatten,1
June 16th,1905,1
Concha,1
Santa, Ee,1
Joseph P.Dunn Shoe,3
Ping W,1
the U. s. Reviee',1
Julian Labato,2
Juan Domingo,1
Martin,1
under 12 years of age,1
Metionel Archives Microfiln Publicetione M941,1
May 14,1904,1
Tans,6
Innisvith,1
Santo Eh,1
Fe Water,1
Iodine,1
E. Clark,1
